compound_id,dtxsid,name,smiles_final,qsar_ready_smiles,ms_ready_smiles,smiles_ctx,exclusion_reason
DTXSID4049450,DTXSID4049450,NTP Mix62 CT1 62-GP,,,,,missing_smiles_final
DTXSID4049452,DTXSID4049452,NTP Mix64 CT1 62-GP,,,,,missing_smiles_final
DTXSID4049454,DTXSID4049454,NTP Mix66 CT1 62-GP,,,,,missing_smiles_final
DTXSID4049456,DTXSID4049456,NTP Mix68 CT1 62-GP,,,,,missing_smiles_final
DTXSID4049458,DTXSID4049458,NTP Mix70 CT1 62-GP,,,,,missing_smiles_final
DTXSID4049531,DTXSID4049531,NTP Mix111 ER1 10-GP,,,,,missing_smiles_final
DTXSID4049533,DTXSID4049533,NTP Mix113 ER1 10-GP,,,,,missing_smiles_final
DTXSID4049535,DTXSID4049535,NTP Mix115 ER1 10-GP,,,,,missing_smiles_final
DTXSID4049537,DTXSID4049537,NTP Mix82 ER AR1 18-EQP,,,,,missing_smiles_final
DTXSID4049539,DTXSID4049539,NTP Mix84 ER AR1 18-EQP,,,,,missing_smiles_final
DTXSID4052891,DTXSID4052891,ZRMN-120612,,,,,missing_smiles_final
DTXSID4052893,DTXSID4052893,SCGA-041713,,,,,missing_smiles_final
DTXSID4052895,DTXSID4052895,C111HS-041013,,,,,missing_smiles_final
DTXSID4052897,DTXSID4052897,IRIA-052113,,,,,missing_smiles_final
DTXSID4052899,DTXSID4052899,US-WWTP,,,,,missing_smiles_final
DTXSID40858880,DTXSID40858880,EPAMED_Water_Set2-14,,,,,missing_smiles_final
DTXSID40858885,DTXSID40858885,EPAMED_Water_Set2-19,,,,,missing_smiles_final
DTXSID40858901,DTXSID40858901,EPAMED_Water_Set2-35,,,,,missing_smiles_final
DTXSID40858906,DTXSID40858906,EPAMED_Water_Set2-40,,,,,missing_smiles_final
DTXSID40858921,DTXSID40858921,EPAMED_Water_Set2-55,,,,,missing_smiles_final
DTXSID40872708,DTXSID40872708,EPAMED_Water_Set3-3,,,,,missing_smiles_final
DTXSID40872723,DTXSID40872723,EPAMED_Water_Set3-18,,,,,missing_smiles_final
DTXSID40872728,DTXSID40872728,EPAMED_Water_Set3-23,,,,,missing_smiles_final
DTXSID40872743,DTXSID40872743,EPAMED_Water_Set3-38,,,,,missing_smiles_final
DTXSID40872748,DTXSID40872748,EPAMED_Water_Set3-43,,,,,missing_smiles_final
DTXSID40903829,DTXSID40903829,EPAMED_Water_Set4-5,,,,,missing_smiles_final
DTXSID40903844,DTXSID40903844,EPAMED_Water_Set4-20,,,,,missing_smiles_final
DTXSID40903849,DTXSID40903849,EPAMED_Water_Set4-25,,,,,missing_smiles_final
DTXSID40903864,DTXSID40903864,EPAMED_Water_Set5-5,,,,,missing_smiles_final
DTXSID40903869,DTXSID40903869,EPAMED_Water_Set5-10,,,,,missing_smiles_final
DTXSID40903884,DTXSID40903884,EPAMED_Water_Set5-25,,,,,missing_smiles_final
DTXSID40903889,DTXSID40903889,EPAMED_Water_Set5-30,,,,,missing_smiles_final
DTXSID501339554,DTXSID501339554,AFFF Solberg F2 (1X),,,,,missing_smiles_final
DTXSID501351788,DTXSID501351788,2-(Phenylmethylene)octanal; Butylated hydroxytoluene (33:67),,,,,missing_smiles_final
DTXSID501351790,DTXSID501351790,Citric acid; Butylated hydroxytoluene (33:67),,,,,missing_smiles_final
DTXSID501351807,DTXSID501351807,Butylated hydroxytoluene; Bexarotene (50:50),,,,,missing_smiles_final
